State Name,county Name,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,San Diego,11/14/2015,63,Moderate,PM2.5,06-073-1019,14
California,San Diego,11/15/2015,61,Moderate,PM2.5,06-073-1011,12
California,San Diego,11/16/2015,65,Moderate,PM2.5,06-073-1011,12
California,San Diego,11/17/2015,59,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/18/2015,67,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/19/2015,77,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/20/2015,76,Moderate,PM2.5,06-073-1019,13
California,San Diego,11/21/2015,58,Moderate,PM2.5,06-073-1019,11
California,San Diego,11/22/2015,53,Moderate,PM2.5,06-073-1019,11
California,San Diego,11/23/2015,64,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/24/2015,60,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/25/2015,62,Moderate,PM2.5,06-073-1011,12
California,San Diego,11/26/2015,56,Moderate,PM2.5,06-073-1019,14
California,San Diego,11/27/2015,57,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/28/2015,55,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/29/2015,54,Moderate,PM2.5,06-073-1019,12
California,San Diego,11/30/2015,64,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/1/2015,68,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/2/2015,65,Moderate,PM2.5,06-073-1019,13
California,San Diego,12/3/2015,60,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/4/2015,72,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/5/2015,66,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/6/2015,60,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/7/2015,77,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/8/2015,91,Moderate,PM10,06-073-1014,14
California,San Diego,12/9/2015,103,Unhealthy for Sensitive Groups,PM2.5,06-073-1019,12
California,San Diego,12/10/2015,85,Moderate,PM2.5,06-073-1019,12
California,San Diego,12/11/2015,51,Moderate,PM2.5,06-073-1008,12
